"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Tawaf_Ablation_Model.nlogo"
"ablation_stage0_full_density_sweep"
"07/15/2026 15:33:42:001 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-15","15"
"[run number]","population","base-speed","speed-variation","homogeneous-radius?","avoidance?","density-speed?","sensing-radius","[step]","count turtles","sd-radius","lane-count 0.5 3","overlaps","mean-nn","edge-fraction 0.5","mean-speed"
"4","450","0.8","0.1","true","false","false","3","0","450","3.530287444085541","5","235","0.5832388724761451","0.08222222222222222","0.8492451859985694"
"2","450","0.8","0.1","true","false","false","3","0","450","3.5095286727998314","4","229","0.6146949931919112","0.08222222222222222","0.850282874065337"
"1","450","0.8","0.1","true","false","false","3","0","450","3.6008869827352887","2","235","0.6162496278261855","0.09555555555555556","0.8493513102584977"
"5","450","0.8","0.1","true","false","false","3","0","450","3.436030184473929","6","229","0.6155368241760742","0.07777777777777778","0.85123793517"
"3","450","0.8","0.1","true","false","false","3","0","450","3.470725374811318","4","250","0.5970612049491688","0.07555555555555556","0.848093135524556"
"4","450","0.8","0.1","true","false","false","3","1","450","3.469826446893971","5","259","0.5806332908433104","0.07777777777777778","0.8492451859985694"
"2","450","0.8","0.1","true","false","false","3","1","450","3.449280922738319","5","240","0.6082401870557801","0.08","0.850282874065336"
"1","450","0.8","0.1","true","false","false","3","1","450","3.5399071928431205","3","240","0.6077624844670745","0.09111111111111111","0.8493513102584985"
"4","450","0.8","0.1","true","false","false","3","2","450","3.4325820107010987","4","239","0.586723133789264","0.07555555555555556","0.8492451859985692"
"4","450","0.8","0.1","true","false","false","3","3","450","3.395300999037356","6","248","0.5814087398604915","0.04","0.8492451859985701"
"4","450","0.8","0.1","true","false","false","3","4","450","3.354864092669101","5","243","0.5810189861019935","0.03333333333333333","0.8492451859985696"
"5","450","0.8","0.1","true","false","false","3","1","450","3.383733171184439","4","224","0.6105218349971153","0.07555555555555556","0.8512379351700005"
"3","450","0.8","0.1","true","false","false","3","1","450","3.411400633724903","3","243","0.5836495390103383","0.07333333333333333","0.8480931355245553"
"4","450","0.8","0.1","true","false","false","3","5","450","3.314849682703806","3","254","0.577922996344519","0.03111111111111111","0.8492451859985698"
"2","450","0.8","0.1","true","false","false","3","2","450","3.4114203975858355","1","238","0.6089235273549458","0.08","0.8502828740653359"
"4","450","0.8","0.1","true","false","false","3","6","450","3.2796261936152766","3","257","0.5800840044136412","0.03111111111111111","0.8492451859985699"
"6","1050","0.8","0.1","true","false","false","3","0","1050","3.551580785934778","3","841","0.40501479462931006","0.08857142857142856","0.8511160176141811"
"1","450","0.8","0.1","true","false","false","3","2","450","3.5029882763472076","3","233","0.6169645368131","0.09111111111111111","0.8493513102584983"
"4","450","0.8","0.1","true","false","false","3","7","450","3.244118495044816","4","260","0.5844219700598129","0.03111111111111111","0.8492451859985691"
"3","450","0.8","0.1","true","false","false","3","2","450","3.3750490279044665","3","221","0.5834821532226689","0.07111111111111111","0.8480931355245558"
"5","450","0.8","0.1","true","false","false","3","2","450","3.3514944140477625","4","219","0.6100470822881325","0.07333333333333333","0.8512379351699999"
"2","450","0.8","0.1","true","false","false","3","3","450","3.374570971437867","3","220","0.6057256777470481","0.04888888888888889","0.8502828740653355"
"3","450","0.8","0.1","true","false","false","3","3","450","3.33872662730989","5","239","0.5844347827187963","0.042222222222222223","0.848093135524555"
"1","450","0.8","0.1","true","false","false","3","3","450","3.465827375360707","6","233","0.6164821127877363","0.057777777777777775","0.8493513102584985"
"4","450","0.8","0.1","true","false","false","3","8","450","3.208815611075787","3","261","0.5904211280858618","0.024444444444444446","0.8492451859985696"
"3","450","0.8","0.1","true","false","false","3","4","450","3.2997676958306252","5","234","0.5811775230249154","0.03111111111111111","0.8480931355245563"
"2","450","0.8","0.1","true","false","false","3","4","450","3.335877338365078","4","233","0.6037192149468177","0.04","0.8502828740653353"
"5","450","0.8","0.1","true","false","false","3","3","450","3.319599595915531","6","241","0.6060483927124471","0.057777777777777775","0.8512379351700009"
"1","450","0.8","0.1","true","false","false","3","4","450","3.4253282807989076","6","254","0.6083823902460223","0.042222222222222223","0.8493513102584981"
"4","450","0.8","0.1","true","false","false","3","9","450","3.1713248679531105","4","252","0.5947904944970407","0.022222222222222223","0.8492451859985695"
"5","450","0.8","0.1","true","false","false","3","4","450","3.2870973183652823","5","243","0.6021470308895538","0.044444444444444446","0.8512379351699998"
