"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Tawaf_Ablation_Model.nlogox"
"ablation_stage3_full_density_sweep"
"07/12/2026 15:30:46:140 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-15","15"
"[run number]","population","base-speed","speed-variation","homogeneous-radius?","avoidance?","density-speed?","sensing-radius","[step]","count turtles","sd-radius","lane-count 0.5 3","overlaps","mean-nn","edge-fraction 0.5","mean-speed","mean-local-density"
"1","450","0.8","0.1","false","true","true","3","200","450","1.8246378866853517","2","233","0.5887262630121246","0.06666666666666667","1.1665788402761925","0.733684638895233"
"2","450","0.8","0.1","false","true","true","3","200","450","1.929873666774674","4","227","0.6212427301841","0.05333333333333334","1.1720804926299873","0.7116780294800582"
"5","450","0.8","0.1","false","true","true","3","200","450","1.8729658420679467","5","233","0.6107018963764796","0.06444444444444444","1.1675612781965137","0.7297548872139523"
"3","450","0.8","0.1","false","true","true","3","200","450","1.8849906255780982","4","231","0.614971920044817","0.05333333333333334","1.1709015671256036","0.7163937314975956"
"4","450","0.8","0.1","false","true","true","3","200","450","1.9119243886517998","5","236","0.6143410656707029","0.06666666666666667","1.1715106786362006","0.7139572854552018"
"6","1050","0.8","0.1","false","true","true","3","200","1050","2.177828482991278","5","882","0.34510576673463433","0.06","0.8748099228053328","1.8129179570565062"
"7","1050","0.8","0.1","false","true","true","3","200","1050","2.136019746690893","4","865","0.3182638049436742","0.08095238095238096","0.7027006645295716","2.6964384136280266"
"8","1050","0.8","0.1","false","true","true","3","200","1050","2.1707555996572614","3","859","0.34267336794229647","0.07238095238095238","0.9109953049177735","1.7009874013116681"
"10","1050","0.8","0.1","false","true","true","3","200","1050","2.1642826271326285","6","890","0.31654633806324295","0.06476190476190476","0.7174297039161175","2.5172080533757546"
"9","1050","0.8","0.1","false","true","true","3","200","1050","2.1872349691620987","6","850","0.335520149658781","0.07142857142857142","0.7289149042169175","2.430304401909704"
"11","2050","0.8","0.1","false","true","true","3","200","2050","2.5652550579446802","4","1903","0.21402436200802427","0.04341463414634146","0.3853811309478145","4.129557509326075"
"12","2050","0.8","0.1","false","true","true","3","200","2050","2.5286096147397727","7","1903","0.22049389270247205","0.02926829268292683","0.3807091417880099","4.4349624743789455"
"13","2050","0.8","0.1","false","true","true","3","200","2050","2.5814356340571982","5","1915","0.2137819037724126","0.03951219512195122","0.38438981257903465","4.138063025525997"
"14","2050","0.8","0.1","false","true","true","3","200","2050","2.503303281085673","6","1913","0.22025878059439707","0.03560975609756097","0.3863175127436246","4.265438737704591"
"15","2050","0.8","0.1","false","true","true","3","200","2050","2.5874881440456674","7","1921","0.21861714943940522","0.03414634146341464","0.38177044353453204","4.208073947918074"
"16","3050","0.8","0.1","false","true","true","3","200","3050","2.914534501947486","8","2971","0.13676352807887354","0.037377049180327866","0.2371458584546774","5.189865855401047"
"17","3050","0.8","0.1","false","true","true","3","200","3050","2.922400189352252","9","2977","0.15106620030649665","0.028524590163934428","0.24638351851319729","5.255267230922975"
"20","3050","0.8","0.1","false","true","true","3","200","3050","2.88434472810885","8","2988","0.14557249553416732","0.035081967213114754","0.23870795945781248","5.2074221820925635"
"18","3050","0.8","0.1","false","true","true","3","200","3050","2.916278930706301","9","2983","0.15026198659859388","0.03409836065573771","0.241478504594913","5.291980130728338"
"19","3050","0.8","0.1","false","true","true","3","200","3050","2.903033134945971","9","2975","0.1425695119022637","0.03770491803278689","0.2320382321862794","5.249619984490471"
"21","4050","0.8","0.1","false","true","true","3","200","4050","3.249652638954679","6","4011","0.12554023132843722","0.03160493827160494","0.1554717547684552","6.550214895737956"
"22","4050","0.8","0.1","false","true","true","3","200","4050","3.218692406189436","7","4014","0.11959217941109813","0.03333333333333333","0.15542961605528052","6.493687600998101"
"23","4050","0.8","0.1","false","true","true","3","200","4050","3.215413034641192","11","4019","0.12325781662296077","0.036049382716049384","0.15014030277657758","6.603799243107609"
"25","4050","0.8","0.1","false","true","true","3","200","4050","3.2358457320401195","10","4011","0.12042470497608819","0.028395061728395062","0.15239501382781068","6.560571974613484"
"24","4050","0.8","0.1","false","true","true","3","200","4050","3.221140962991366","10","4008","0.12486980950768037","0.03111111111111111","0.14958635407315132","6.605449738813755"
"26","4950","0.8","0.1","false","true","true","3","200","4950","3.3591723624431977","8","4911","0.1269753649393564","0.07272727272727272","0.09447875815526786","8.074768014660265"
"27","4950","0.8","0.1","false","true","true","3","200","4950","3.367763487410103","8","4906","0.12485544041033772","0.07414141414141415","0.09481619668079079","8.093780867794617"
"28","4950","0.8","0.1","false","true","true","3","200","4950","3.335801471915929","10","4913","0.12804963523207796","0.06828282828282828","0.09299467433213164","8.069516437413478"
"29","4950","0.8","0.1","false","true","true","3","200","4950","3.3260972480662745","8","4918","0.12740329689160518","0.07252525252525252","0.09422340477883286","7.943521453508531"
"30","4950","0.8","0.1","false","true","true","3","200","4950","3.3600326550863753","6","4912","0.12305687850384485","0.06707070707070707","0.09620676320801265","7.991843109182182"
